query,function_call
Tôi muốn xem thông tin hiệu suất tháng 6.,"get(departments='hr', content='performance', id='performance_361', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='employee', content='leave_request', id='leave_request_119', type_of_time='range', specific_time='2025-05-31 to 2025-06-20')"
Bạn giúp tôi so sánh các nghỉ phép này nhé tháng này.,"compare(departments='employee', content='leave_request', id='leave_request_92', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính báo cáo trong thời gian tới năm 2024.,"predict(departments='hr', content='report', id='report_448', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhân viên.,"add(departments='hr', content='employee', id='employee_282', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhân viên từ ngày 1 đến ngày 15.,"get(departments='accountant', content='employee', id='employee_134', type_of_time='range', specific_time='2025-06-06 to 2025-06-08')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='accountant', content='project', id='project_26', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu nghỉ phép tháng 12 năm ngoái.,"compare(departments='accountant', content='leave_request', id='leave_request_490', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính nhân viên trong thời gian tới trong quý trước.,"predict(departments='hr', content='employee', id='employee_266', type_of_time='range', specific_time='2025-05-31 to 2025-06-22')"
Bạn có thể giúp tôi thêm báo cáo không?,"add(departments='manager', content='report', id='report_291', type_of_time='range', specific_time='2025-05-20 to 2025-06-06')"
Tôi muốn xem thông tin nhiệm vụ hôm qua.,"get(departments='finance', content='task', id='task_637', type_of_time='day', specific_time='2025-04-18')"
Tôi muốn xóa hiệu suất.,"delete(departments='employee', content='performance', id='performance_494', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các chấm công hai tuần qua.,"compare(departments='hr', content='attendance', id='attendance_153', type_of_time='range', specific_time='2025-05-17 to 2025-06-03')"
Mình cần ước tính nghỉ phép trong thời gian tới ngày mai.,"predict(departments='employee', content='leave_request', id='leave_request_519', type_of_time='day', specific_time='2025-04-24')"
Tôi muốn đăng ký báo cáo.,"add(departments='employee', content='report', id='report_383', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình nghỉ phép tháng 5 năm nay.,"get(departments='accountant', content='leave_request', id='leave_request_606', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='accountant', content='project', id='project_871', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các hiệu suất này nhé hai tuần qua.,"compare(departments='finance', content='performance', id='performance_924', type_of_time='range', specific_time='2025-05-19 to 2025-06-18')"
Cho tôi dự đoán về chấm công từ ngày 1 đến ngày 15.,"predict(departments='finance', content='attendance', id='attendance_279', type_of_time='range', specific_time='2025-05-10 to 2025-05-20')"
Tôi muốn thêm nghỉ phép.,"add(departments='finance', content='leave_request', id='leave_request_63', type_of_time='day', specific_time='2024-09-30')"
Tôi cần tra cứu hóa đơn từ ngày 1 đến ngày 15.,"get(departments='hr', content='invoice', id='invoice_505', type_of_time='range', specific_time='2025-06-02 to 2025-06-12')"
Mình muốn loại bỏ nhiệm vụ khỏi hệ thống.,"delete(departments='manager', content='task', id='task_811', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng nghỉ phép từ đầu tháng đến nay.,"compare(departments='manager', content='leave_request', id='leave_request_970', type_of_time='range', specific_time='2025-05-29 to 2025-06-17')"
Tôi muốn biết dự báo về chấm công tháng trước.,"predict(departments='employee', content='attendance', id='attendance_266', type_of_time='month', specific_time='2025-06-01')"
Mình cần tạo mới một chấm công.,"add(departments='employee', content='attendance', id='attendance_309', type_of_time='day', specific_time='2024-11-25')"
Cho tôi biết về nghỉ phép được không? tháng trước.,"get(departments='employee', content='leave_request', id='leave_request_230', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='finance', content='project', id='project_392', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hóa đơn này nhé từ ngày 1 đến ngày 15.,"compare(departments='hr', content='invoice', id='invoice_491', type_of_time='range', specific_time='2025-06-03 to 2025-06-23')"
Bạn có thể cho biết dự đoán của chấm công không? năm nay.,"predict(departments='accountant', content='attendance', id='attendance_634', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='hr', content='report', id='report_826', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu hiệu suất từ đầu tháng đến nay.,"get(departments='accountant', content='performance', id='performance_998', type_of_time='range', specific_time='2025-06-03 to 2025-06-15')"
Tôi cần hủy hóa đơn.,"delete(departments='finance', content='invoice', id='invoice_987', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các nghỉ phép này nhé ba tháng gần đây.,"compare(departments='manager', content='leave_request', id='leave_request_742', type_of_time='range', specific_time='2025-05-25 to 2025-05-28')"
Cho tôi dự đoán về nhiệm vụ ngày 15 tháng 5.,"predict(departments='accountant', content='task', id='task_255', type_of_time='day', specific_time='2024-11-14')"
Tôi muốn đăng ký dự án.,"add(departments='accountant', content='project', id='project_400', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình nghỉ phép ngày 1 tháng 6.,"get(departments='manager', content='leave_request', id='leave_request_163', type_of_time='day', specific_time='2024-12-07')"
Mình muốn loại bỏ báo cáo khỏi hệ thống.,"delete(departments='employee', content='report', id='report_383', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các dự án ngày mai.,"compare(departments='hr', content='project', id='project_985', type_of_time='day', specific_time='2024-08-03')"
Mình cần ước tính nhiệm vụ trong thời gian tới từ đầu tháng đến nay.,"predict(departments='manager', content='task', id='task_803', type_of_time='range', specific_time='2025-06-05 to 2025-06-28')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='employee', content='report', id='report_751', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi dự án nhé năm tới.,"get(departments='employee', content='project', id='project_267', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='employee', content='project', id='project_109', type_of_time='month', specific_time='2025-06-01')"
So sánh các dự án giúp tôi với ngày mai.,"compare(departments='accountant', content='project', id='project_813', type_of_time='day', specific_time='2025-05-15')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? trong quý trước.,"predict(departments='employee', content='task', id='task_298', type_of_time='range', specific_time='2025-05-31 to 2025-06-23')"
Tôi muốn thêm chấm công.,"add(departments='finance', content='attendance', id='attendance_459', type_of_time='range', specific_time='2025-06-07 to 2025-06-18')"
Tôi cần tra cứu báo cáo hôm nay.,"get(departments='hr', content='report', id='report_653', type_of_time='day', specific_time='2024-11-01')"
Tôi muốn xóa dự án.,"delete(departments='finance', content='project', id='project_455', type_of_time='year', specific_time='2025-01-01')"
So sánh các hiệu suất giúp tôi với ngày 15 tháng 5.,"compare(departments='accountant', content='performance', id='performance_609', type_of_time='day', specific_time='2025-01-28')"
Cho tôi dự đoán về nghỉ phép tháng 6.,"predict(departments='finance', content='leave_request', id='leave_request_883', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm báo cáo không?,"add(departments='manager', content='report', id='report_279', type_of_time='range', specific_time='2025-06-03 to 2025-06-06')"
Tôi cần tra cứu hiệu suất năm 2025.,"get(departments='hr', content='performance', id='performance_799', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa chấm công.,"delete(departments='hr', content='attendance', id='attendance_691', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các báo cáo ba tháng gần đây.,"compare(departments='accountant', content='report', id='report_983', type_of_time='range', specific_time='2025-06-08 to 2025-06-24')"
Tôi muốn biết dự báo về nhân viên tháng 12 năm ngoái.,"predict(departments='employee', content='employee', id='employee_272', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một chấm công mới giúp tôi.,"add(departments='finance', content='attendance', id='attendance_537', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi nhân viên nhé tháng này.,"get(departments='manager', content='employee', id='employee_347', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy dự án.,"delete(departments='employee', content='project', id='project_986', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các dự án ngày mai.,"compare(departments='employee', content='project', id='project_752', type_of_time='day', specific_time='2025-01-09')"
Tôi muốn biết dự báo về chấm công tháng 6.,"predict(departments='manager', content='attendance', id='attendance_922', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm hóa đơn.,"add(departments='manager', content='invoice', id='invoice_51', type_of_time='day', specific_time='2024-09-08')"
Tôi cần tra cứu nhân viên từ đầu tháng đến nay.,"get(departments='employee', content='employee', id='employee_798', type_of_time='range', specific_time='2025-06-09 to 2025-07-01')"
Làm ơn gỡ bỏ báo cáo này giúp tôi.,"delete(departments='accountant', content='report', id='report_329', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các chấm công này nhé tháng này.,"compare(departments='employee', content='attendance', id='attendance_727', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về dự án năm nay.,"predict(departments='hr', content='project', id='project_829', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhân viên.,"add(departments='hr', content='employee', id='employee_106', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin nhân viên ngày 1 tháng 6.,"get(departments='manager', content='employee', id='employee_719', type_of_time='day', specific_time='2024-12-01')"
Tôi cần hủy dự án.,"delete(departments='manager', content='project', id='project_761', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng nhiệm vụ từ ngày 1 đến ngày 15.,"compare(departments='hr', content='task', id='task_142', type_of_time='range', specific_time='2025-06-01 to 2025-06-05')"
Bạn có thể dự đoán dự án giúp tôi không? tháng 5 năm nay.,"predict(departments='finance', content='project', id='project_645', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='manager', content='report', id='report_354', type_of_time='day', specific_time='2024-11-26')"
Tôi cần tra cứu nhân viên năm ngoái.,"get(departments='hr', content='employee', id='employee_452', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy nhân viên.,"delete(departments='employee', content='employee', id='employee_724', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các chấm công này nhé năm 2025.,"compare(departments='hr', content='attendance', id='attendance_564', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể cho biết dự đoán của nghỉ phép không? ngày mai.,"predict(departments='employee', content='leave_request', id='leave_request_984', type_of_time='day', specific_time='2024-12-10')"
Tôi muốn thêm chấm công.,"add(departments='employee', content='attendance', id='attendance_112', type_of_time='day', specific_time='2024-12-11')"
Mình muốn biết tình hình nhiệm vụ tháng 6.,"get(departments='finance', content='task', id='task_20', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa báo cáo.,"delete(departments='finance', content='report', id='report_423', type_of_time='day', specific_time='2024-09-27')"
Bạn giúp tôi so sánh các dự án này nhé tháng 5 năm nay.,"compare(departments='employee', content='project', id='project_190', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về báo cáo hôm nay.,"predict(departments='accountant', content='report', id='report_472', type_of_time='day', specific_time='2024-07-30')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='employee', content='project', id='project_25', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi nghỉ phép nhé năm ngoái.,"get(departments='hr', content='leave_request', id='leave_request_972', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='manager', content='project', id='project_818', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các chấm công này nhé tháng 6.,"compare(departments='hr', content='attendance', id='attendance_556', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán báo cáo giúp tôi không? ngày mai.,"predict(departments='employee', content='report', id='report_566', type_of_time='day', specific_time='2024-08-19')"
Tôi muốn thêm hiệu suất.,"add(departments='finance', content='performance', id='performance_876', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhiệm vụ nhé trong quý trước.,"get(departments='accountant', content='task', id='task_531', type_of_time='range', specific_time='2025-05-13 to 2025-06-07')"
Mình muốn loại bỏ nghỉ phép khỏi hệ thống.,"delete(departments='accountant', content='leave_request', id='leave_request_876', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu báo cáo năm ngoái.,"compare(departments='finance', content='report', id='report_58', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán chấm công giúp tôi không? hôm qua.,"predict(departments='hr', content='attendance', id='attendance_487', type_of_time='day', specific_time='2024-10-10')"
Tôi muốn đăng ký hóa đơn.,"add(departments='manager', content='invoice', id='invoice_397', type_of_time='day', specific_time='2025-03-20')"
Tôi muốn xem thông tin nhân viên năm ngoái.,"get(departments='finance', content='employee', id='employee_41', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy báo cáo.,"delete(departments='manager', content='report', id='report_281', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng nghỉ phép tháng 5 năm nay.,"compare(departments='manager', content='leave_request', id='leave_request_959', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? năm nay.,"predict(departments='manager', content='leave_request', id='leave_request_115', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhiệm vụ.,"add(departments='finance', content='task', id='task_911', type_of_time='range', specific_time='2025-06-09 to 2025-06-16')"
Tôi cần tra cứu chấm công năm ngoái.,"get(departments='accountant', content='attendance', id='attendance_270', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nghỉ phép này giúp tôi.,"delete(departments='manager', content='leave_request', id='leave_request_137', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các hóa đơn này nhé năm nay.,"compare(departments='manager', content='invoice', id='invoice_964', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về nhân viên hai tuần qua.,"predict(departments='finance', content='employee', id='employee_719', type_of_time='range', specific_time='2025-06-01 to 2025-06-18')"
Tôi muốn thêm báo cáo.,"add(departments='employee', content='report', id='report_454', type_of_time='day', specific_time='2025-04-11')"
Mình muốn biết tình hình báo cáo năm 2025.,"get(departments='manager', content='report', id='report_566', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy nghỉ phép.,"delete(departments='accountant', content='leave_request', id='leave_request_598', type_of_time='range', specific_time='2025-05-31 to 2025-06-21')"
Bạn giúp tôi so sánh các nhân viên này nhé năm ngoái.,"compare(departments='hr', content='employee', id='employee_776', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể cho biết dự đoán của dự án không? tháng 6.,"predict(departments='manager', content='project', id='project_582', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký hiệu suất.,"add(departments='accountant', content='performance', id='performance_308', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi chấm công nhé tháng trước.,"get(departments='accountant', content='attendance', id='attendance_399', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa nghỉ phép.,"delete(departments='accountant', content='leave_request', id='leave_request_432', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các nhiệm vụ này nhé năm tới.,"compare(departments='employee', content='task', id='task_70', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính nhân viên trong thời gian tới tháng trước.,"predict(departments='accountant', content='employee', id='employee_982', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một nghỉ phép mới giúp tôi.,"add(departments='employee', content='leave_request', id='leave_request_669', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin chấm công ngày 15 tháng 5.,"get(departments='accountant', content='attendance', id='attendance_307', type_of_time='day', specific_time='2025-03-24')"
Làm ơn gỡ bỏ chấm công này giúp tôi.,"delete(departments='employee', content='attendance', id='attendance_504', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hóa đơn này nhé năm 2025.,"compare(departments='employee', content='invoice', id='invoice_624', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán dự án giúp tôi không? ngày 15 tháng 5.,"predict(departments='manager', content='project', id='project_623', type_of_time='day', specific_time='2024-07-16')"
Tôi muốn đăng ký nhân viên.,"add(departments='accountant', content='employee', id='employee_898', type_of_time='range', specific_time='2025-05-16 to 2025-05-30')"
Bạn kiểm tra giúp tôi hiệu suất nhé ngày 15 tháng 5.,"get(departments='manager', content='performance', id='performance_335', type_of_time='day', specific_time='2025-01-27')"
Làm ơn gỡ bỏ báo cáo này giúp tôi.,"delete(departments='accountant', content='report', id='report_385', type_of_time='range', specific_time='2025-06-05 to 2025-07-01')"
Bạn giúp tôi so sánh các nghỉ phép này nhé năm nay.,"compare(departments='manager', content='leave_request', id='leave_request_671', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về báo cáo năm nay.,"predict(departments='finance', content='report', id='report_427', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký dự án.,"add(departments='manager', content='project', id='project_207', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hóa đơn nhé năm nay.,"get(departments='hr', content='invoice', id='invoice_650', type_of_time='year', specific_time='2025-01-01')"
Mình muốn loại bỏ chấm công khỏi hệ thống.,"delete(departments='hr', content='attendance', id='attendance_668', type_of_time='day', specific_time='2025-01-31')"
So sánh các báo cáo giúp tôi với ngày 15 tháng 5.,"compare(departments='accountant', content='report', id='report_236', type_of_time='day', specific_time='2025-05-25')"
Bạn có thể dự đoán nhân viên giúp tôi không? tháng này.,"predict(departments='manager', content='employee', id='employee_922', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='accountant', content='leave_request', id='leave_request_111', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu nghỉ phép tháng 5 năm nay.,"get(departments='finance', content='leave_request', id='leave_request_249', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='hr', content='project', id='project_908', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các chấm công này nhé từ ngày 1 đến ngày 15.,"compare(departments='finance', content='attendance', id='attendance_47', type_of_time='range', specific_time='2025-05-30 to 2025-06-15')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? hôm nay.,"predict(departments='accountant', content='leave_request', id='leave_request_397', type_of_time='day', specific_time='2025-05-02')"
Mình cần tạo mới một hiệu suất.,"add(departments='employee', content='performance', id='performance_221', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về nhiệm vụ được không? hôm nay.,"get(departments='hr', content='task', id='task_902', type_of_time='day', specific_time='2024-11-24')"
Bạn có thể xóa nhân viên giùm tôi không?,"delete(departments='accountant', content='employee', id='employee_566', type_of_time='month', specific_time='2025-06-01')"
So sánh các hóa đơn giúp tôi với hai tuần qua.,"compare(departments='accountant', content='invoice', id='invoice_692', type_of_time='range', specific_time='2025-05-14 to 2025-05-30')"
Bạn có thể dự đoán hóa đơn giúp tôi không? tháng này.,"predict(departments='hr', content='invoice', id='invoice_383', type_of_time='month', specific_time='2025-06-01')"
Mình cần tạo mới một hiệu suất.,"add(departments='employee', content='performance', id='performance_941', type_of_time='day', specific_time='2024-12-22')"
Tôi cần tra cứu nghỉ phép năm nay.,"get(departments='manager', content='leave_request', id='leave_request_13', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa chấm công giùm tôi không?,"delete(departments='manager', content='attendance', id='attendance_988', type_of_time='day', specific_time='2025-02-05')"
Bạn giúp tôi so sánh các nghỉ phép này nhé tháng 5 năm nay.,"compare(departments='finance', content='leave_request', id='leave_request_500', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán hóa đơn giúp tôi không? ngày 1 tháng 6.,"predict(departments='finance', content='invoice', id='invoice_432', type_of_time='day', specific_time='2025-01-10')"
Làm ơn thêm một nghỉ phép mới giúp tôi.,"add(departments='manager', content='leave_request', id='leave_request_132', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhiệm vụ nhé tháng trước.,"get(departments='employee', content='task', id='task_946', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa hóa đơn.,"delete(departments='hr', content='invoice', id='invoice_880', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng hiệu suất hôm qua.,"compare(departments='accountant', content='performance', id='performance_417', type_of_time='day', specific_time='2025-01-13')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? tháng 5 năm nay.,"predict(departments='manager', content='task', id='task_46', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một nhiệm vụ mới giúp tôi.,"add(departments='manager', content='task', id='task_798', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi hóa đơn nhé ngày 15 tháng 5.,"get(departments='accountant', content='invoice', id='invoice_129', type_of_time='day', specific_time='2024-08-17')"
Tôi cần hủy dự án.,"delete(departments='manager', content='project', id='project_980', type_of_time='day', specific_time='2025-02-14')"
Tôi muốn biết sự khác biệt giữa các hiệu suất năm 2024.,"compare(departments='hr', content='performance', id='performance_881', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể cho biết dự đoán của chấm công không? tháng 12 năm ngoái.,"predict(departments='hr', content='attendance', id='attendance_125', type_of_time='month', specific_time='2025-06-01')"
Mình cần tạo mới một chấm công.,"add(departments='employee', content='attendance', id='attendance_701', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin nhiệm vụ ba tháng gần đây.,"get(departments='finance', content='task', id='task_500', type_of_time='range', specific_time='2025-06-03 to 2025-06-09')"
Làm ơn gỡ bỏ hóa đơn này giúp tôi.,"delete(departments='hr', content='invoice', id='invoice_581', type_of_time='month', specific_time='2025-06-01')"
So sánh các báo cáo giúp tôi với ba tháng gần đây.,"compare(departments='accountant', content='report', id='report_506', type_of_time='range', specific_time='2025-05-10 to 2025-05-16')"
Bạn có thể cho biết dự đoán của nhân viên không? hôm nay.,"predict(departments='employee', content='employee', id='employee_59', type_of_time='day', specific_time='2024-09-05')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='employee', content='report', id='report_247', type_of_time='range', specific_time='2025-05-22 to 2025-06-08')"
Bạn kiểm tra giúp tôi chấm công nhé từ ngày 1 đến ngày 15.,"get(departments='manager', content='attendance', id='attendance_318', type_of_time='range', specific_time='2025-06-03 to 2025-06-13')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='employee', content='leave_request', id='leave_request_551', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu hiệu suất năm tới.,"compare(departments='accountant', content='performance', id='performance_738', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về nghỉ phép hôm qua.,"predict(departments='employee', content='leave_request', id='leave_request_534', type_of_time='day', specific_time='2025-01-30')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='hr', content='project', id='project_254', type_of_time='day', specific_time='2025-04-17')"
Mình muốn biết tình hình chấm công năm ngoái.,"get(departments='finance', content='attendance', id='attendance_756', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='finance', content='leave_request', id='leave_request_788', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng chấm công tháng 6.,"compare(departments='manager', content='attendance', id='attendance_775', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của chấm công không? tháng 6.,"predict(departments='accountant', content='attendance', id='attendance_579', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='hr', content='report', id='report_230', type_of_time='day', specific_time='2025-03-01')"
Mình muốn biết tình hình nhân viên hôm nay.,"get(departments='hr', content='employee', id='employee_993', type_of_time='day', specific_time='2025-02-05')"
Tôi cần hủy dự án.,"delete(departments='finance', content='project', id='project_976', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu nhân viên năm tới.,"compare(departments='hr', content='employee', id='employee_870', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể cho biết dự đoán của chấm công không? năm 2024.,"predict(departments='manager', content='attendance', id='attendance_248', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký báo cáo.,"add(departments='finance', content='report', id='report_905', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình dự án ngày 1 tháng 6.,"get(departments='accountant', content='project', id='project_73', type_of_time='day', specific_time='2025-05-09')"
Tôi cần hủy nhân viên.,"delete(departments='finance', content='employee', id='employee_447', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các chấm công này nhé tháng này.,"compare(departments='accountant', content='attendance', id='attendance_975', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về chấm công năm tới.,"predict(departments='finance', content='attendance', id='attendance_189', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một chấm công mới giúp tôi.,"add(departments='accountant', content='attendance', id='attendance_976', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình nhiệm vụ hôm qua.,"get(departments='manager', content='task', id='task_839', type_of_time='day', specific_time='2024-11-08')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='manager', content='performance', id='performance_390', type_of_time='day', specific_time='2025-05-15')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép tháng trước.,"compare(departments='accountant', content='leave_request', id='leave_request_21', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính chấm công trong thời gian tới tháng 5 năm nay.,"predict(departments='accountant', content='attendance', id='attendance_626', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký chấm công.,"add(departments='employee', content='attendance', id='attendance_295', type_of_time='day', specific_time='2025-02-17')"
Bạn kiểm tra giúp tôi hiệu suất nhé tháng trước.,"get(departments='accountant', content='performance', id='performance_600', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa nhiệm vụ giùm tôi không?,"delete(departments='finance', content='task', id='task_620', type_of_time='month', specific_time='2025-06-01')"
So sánh các nhân viên giúp tôi với tháng trước.,"compare(departments='employee', content='employee', id='employee_930', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? năm ngoái.,"predict(departments='hr', content='leave_request', id='leave_request_668', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='hr', content='report', id='report_556', type_of_time='range', specific_time='2025-05-11 to 2025-05-24')"
Tôi muốn xem thông tin dự án ngày 15 tháng 5.,"get(departments='accountant', content='project', id='project_221', type_of_time='day', specific_time='2024-10-08')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='manager', content='project', id='project_174', type_of_time='day', specific_time='2024-07-01')"
Mình cần so sánh tình trạng chấm công tháng 12 năm ngoái.,"compare(departments='employee', content='attendance', id='attendance_207', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? trong quý trước.,"predict(departments='employee', content='leave_request', id='leave_request_704', type_of_time='range', specific_time='2025-05-11 to 2025-05-23')"
Tôi muốn đăng ký báo cáo.,"add(departments='employee', content='report', id='report_708', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu dự án tháng trước.,"get(departments='accountant', content='project', id='project_952', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='manager', content='project', id='project_347', type_of_time='year', specific_time='2025-01-01')"
